Actions,Original,Half sized,90 degree,180 degree,Name,,,,
m_1,0.173645423,0.174290392,0.173645423,0.173645423,kho_11.jpg,,,,
m_2,1.10118E-08,2.19793E-08,1.10118E-08,1.10118E-08,kho_11.jpg,,,,
m_3,3.60089E-09,4.7651E-09,3.60089E-09,3.60089E-09,kho_11.jpg,,,,
m_4,4.47103E-08,5.82148E-08,4.47103E-08,4.47103E-08,kho_11.jpg,,,,
m_5,-5.35752E-16,-8.45315E-16,-5.35752E-16,-5.35752E-16,kho_11.jpg,,,,
m_6,-2.63517E-13,-4.00467E-12,-2.63517E-13,-2.63517E-13,kho_11.jpg,,,,
m_7,-1.86561E-16,4.7491E-16,-1.86561E-16,-1.86561E-16,kho_11.jpg,,,,
m_1,0.177479183,0.178311588,0.177479183,0.177479183,kho_12.jpg,,,,
m_2,1.49E-07,6.99E-08,1.49E-07,1.49E-07,kho_12.jpg,,,,
m_3,6.36E-08,6.57E-08,6.36E-08,6.36E-08,kho_12.jpg,,,,
m_4,1.25E-06,1.46E-06,1.25E-06,1.25E-06,kho_12.jpg,,,,
m_5,3.33E-13,4.34E-13,3.33E-13,3.33E-13,kho_12.jpg,,,,
m_6,3.71E-10,2.69E-10,3.71E-10,3.71E-10,kho_12.jpg,,,,
m_7,1.16E-13,1.28E-13,1.16E-13,1.16E-13,kho_12.jpg,,,,
